,Unnamed: 0,annot1_idx,annot2_idx,Gof,label1,label2,label1_orig,label1_orig_renamed
148,148,149,4,99.7707473635947,L_PF_ROI_L,parc_3,L_PF_ROI,PF_L
149,149,150,4,100.0,L_PFm_ROI_L,parc_3,L_PFm_ROI,PFm_L
150,150,151,4,94.2660550458716,L_PGi_ROI_L,parc_3,L_PGi_ROI,PGi_L
151,151,152,4,100.0,L_PGs_ROI_L,parc_3,L_PGs_ROI,PGs_L
152,152,153,3,55.1587301587302,L_V6A_ROI_L,parc_2,L_V6A_ROI,V6A_L
153,153,154,5,99.3135011441648,L_VMV1_ROI_L,parc_4,L_VMV1_ROI,VMV1_L
154,154,155,5,81.2903225806452,L_VMV3_ROI_L,parc_4,L_VMV3_ROI,VMV3_L
155,155,156,7,84.7715736040609,L_PHA2_ROI_L,parc_6,L_PHA2_ROI,PHA2_L
156,156,157,5,100.0,L_V4t_ROI_L,parc_4,L_V4t_ROI,V4t_L
157,157,158,5,96.0,L_FST_ROI_L,parc_4,L_FST_ROI,FST_L
158,158,159,5,71.0106382978723,L_V3CD_ROI_L,parc_4,L_V3CD_ROI,V3CD_L
159,159,160,5,97.5384615384615,L_LO3_ROI_L,parc_4,L_LO3_ROI,LO3_L
160,160,161,5,100.0,L_VMV2_ROI_L,parc_4,L_VMV2_ROI,VMV2_L
161,161,162,3,82.2018348623853,L_31pd_ROI_L,parc_2,L_31pd_ROI,31pd_L
162,162,163,7,93.0635838150289,L_31a_ROI_L,parc_6,L_31a_ROI,31a_L
163,163,164,3,62.9746835443038,L_VVC_ROI_L,parc_2,L_VVC_ROI,VVC_L
164,164,165,5,95.3929539295393,L_25_ROI_L,parc_4,L_25_ROI,25_L
165,165,166,5,100.0,L_s32_ROI_L,parc_4,L_s32_ROI,s32_L
166,166,167,5,100.0,L_pOFC_ROI_L,parc_4,L_pOFC_ROI,pOFC_L
167,167,168,8,94.702842377261,L_PoI1_ROI_L,parc_7,L_PoI1_ROI,PoI1_L
168,168,169,8,80.8823529411765,L_Ig_ROI_L,parc_7,L_Ig_ROI,Ig_L
169,169,170,3,42.6553672316384,L_FOP5_ROI_L,parc_2,L_FOP5_ROI,FOP5_L
170,170,171,3,94.5355191256831,L_p10p_ROI_L,parc_2,L_p10p_ROI,p10p_L
171,171,172,3,82.6377295492487,L_p47r_ROI_L,parc_2,L_p47r_ROI,p47r_L
172,172,173,7,74.4326777609682,L_TGv_ROI_L,parc_6,L_TGv_ROI,TGv_L
173,173,174,6,77.3333333333333,L_MBelt_ROI_L,parc_5,L_MBelt_ROI,MBelt_L
174,174,175,4,72.7580372250423,L_LBelt_ROI_L,parc_3,L_LBelt_ROI,LBelt_L
175,175,176,3,63.9830508474576,L_A4_ROI_L,parc_2,L_A4_ROI,A4_L
176,176,177,3,82.3088455772114,L_STSva_ROI_L,parc_2,L_STSva_ROI,STSva_L
177,177,178,3,100.0,L_TE1m_ROI_L,parc_2,L_TE1m_ROI,TE1m_L
178,178,179,8,56.6371681415929,L_PI_ROI_L,parc_7,L_PI_ROI,PI_L
179,179,180,7,51.4231499051233,L_a32pr_ROI_L,parc_6,L_a32pr_ROI,a32pr_L
180,180,181,7,100.0,L_p24_ROI_L,parc_6,L_p24_ROI,p24_L
181,181,182,14,57.9703207276209,R_V1_ROI_R,parc_5,R_V1_ROI,V1_R
182,182,183,13,72.7272727272727,R_MST_ROI_R,parc_4,R_MST_ROI,MST_R
183,183,184,13,62.5,R_V6_ROI_R,parc_4,R_V6_ROI,V6_R
184,184,185,13,97.2584419926446,R_V2_ROI_R,parc_4,R_V2_ROI,V2_R
185,185,186,13,100.0,R_V3_ROI_R,parc_4,R_V3_ROI,V3_R
186,186,187,13,100.0,R_V4_ROI_R,parc_4,R_V4_ROI,V4_R
187,187,188,13,79.7752808988764,R_V8_ROI_R,parc_4,R_V8_ROI,V8_R
188,188,189,10,88.9494163424124,R_4_ROI_R,parc_1,R_4_ROI,4_R
189,189,190,11,60.5799373040752,R_3b_ROI_R,parc_2,R_3b_ROI,3b_R
190,190,191,10,62.2352941176471,R_FEF_ROI_R,parc_1,R_FEF_ROI,FEF_R
191,191,192,11,97.2916666666667,R_PEF_ROI_R,parc_2,R_PEF_ROI,PEF_R
192,192,193,11,62.70783847981,R_55b_ROI_R,parc_2,R_55b_ROI,55b_R
193,193,194,13,97.4834437086093,R_V3A_ROI_R,parc_4,R_V3A_ROI,V3A_R
194,194,195,15,58.1904761904762,R_RSC_ROI_R,parc_6,R_RSC_ROI,RSC_R
