annot1_idx,annot2_idx,Gof,label1,label2,label1_orig
37,5,92.7899686520376,lateraloccipital_part5_L,parc_4,lateraloccipital_part5
38,5,100.0,lateraloccipital_part6_L,parc_4,lateraloccipital_part6
39,5,98.6541049798116,lateraloccipital_part7_L,parc_4,lateraloccipital_part7
40,5,100.0,lateraloccipital_part8_L,parc_4,lateraloccipital_part8
41,5,100.0,lateraloccipital_part9_L,parc_4,lateraloccipital_part9
42,5,100.0,lateralorbitofrontal_part1_L,parc_4,lateralorbitofrontal_part1
43,5,96.9497114591921,lateralorbitofrontal_part2_L,parc_4,lateralorbitofrontal_part2
44,5,100.0,lateralorbitofrontal_part3_L,parc_4,lateralorbitofrontal_part3
45,5,80.7723250201126,lateralorbitofrontal_part4_L,parc_4,lateralorbitofrontal_part4
46,5,100.0,lingual_part1_L,parc_4,lingual_part1
47,5,75.5467196819085,lingual_part2_L,parc_4,lingual_part2
48,5,56.5488565488565,lingual_part3_L,parc_4,lingual_part3
49,5,80.7823129251701,lingual_part4_L,parc_4,lingual_part4
50,6,82.847533632287,lingual_part5_L,parc_5,lingual_part5
51,5,100.0,lingual_part6_L,parc_4,lingual_part6
52,5,89.8288973384031,medialorbitofrontal_part1_L,parc_4,medialorbitofrontal_part1
53,5,99.8569384835479,medialorbitofrontal_part2_L,parc_4,medialorbitofrontal_part2
54,5,100.0,medialorbitofrontal_part3_L,parc_4,medialorbitofrontal_part3
55,3,100.0,middletemporal_part1_L,parc_2,middletemporal_part1
56,3,71.1581291759466,middletemporal_part2_L,parc_2,middletemporal_part2
57,3,59.6045197740113,middletemporal_part3_L,parc_2,middletemporal_part3
58,3,100.0,middletemporal_part4_L,parc_2,middletemporal_part4
59,3,100.0,middletemporal_part5_L,parc_2,middletemporal_part5
60,7,94.0438871473354,parahippocampal_part1_L,parc_6,parahippocampal_part1
61,7,80.7821229050279,parahippocampal_part2_L,parc_6,parahippocampal_part2
62,2,62.7680311890838,paracentral_part1_L,parc_1,paracentral_part1
63,2,53.0289727831431,paracentral_part2_L,parc_1,paracentral_part2
64,2,83.0823737821081,paracentral_part3_L,parc_1,paracentral_part3
65,3,100.0,parsopercularis_part1_L,parc_2,parsopercularis_part1
66,3,96.2248322147651,parsopercularis_part2_L,parc_2,parsopercularis_part2
67,3,98.8668555240793,parsopercularis_part3_L,parc_2,parsopercularis_part3
68,5,81.6945606694561,parsorbitalis_part1_L,parc_4,parsorbitalis_part1
69,3,97.352587244284,parstriangularis_part1_L,parc_2,parstriangularis_part1
70,5,60.082304526749,parstriangularis_part2_L,parc_4,parstriangularis_part2
71,6,99.7509339975093,pericalcarine_part1_L,parc_5,pericalcarine_part1
72,6,98.8277727682597,pericalcarine_part2_L,parc_5,pericalcarine_part2
73,6,68.8983050847458,postcentral_part1_L,parc_5,postcentral_part1
74,4,64.015444015444,postcentral_part2_L,parc_3,postcentral_part2
75,4,43.1642304385211,postcentral_part3_L,parc_3,postcentral_part3
76,6,82.7202737382378,postcentral_part4_L,parc_5,postcentral_part4
77,3,44.9718423169751,postcentral_part5_L,parc_2,postcentral_part5
78,3,44.037558685446,postcentral_part6_L,parc_2,postcentral_part6
79,4,66.6139240506329,postcentral_part7_L,parc_3,postcentral_part7
80,3,38.5964912280702,postcentral_part8_L,parc_2,postcentral_part8
81,7,98.5975609756098,posteriorcingulate_part1_L,parc_6,posteriorcingulate_part1
82,7,62.7921279212792,posteriorcingulate_part2_L,parc_6,posteriorcingulate_part2
83,2,91.3207547169811,precentral_part1_L,parc_1,precentral_part1
84,3,99.7617156473392,precentral_part2_L,parc_2,precentral_part2
85,2,98.8198269079465,precentral_part3_L,parc_1,precentral_part3
86,3,99.9144568006843,precentral_part4_L,parc_2,precentral_part4
87,2,91.7293233082707,precentral_part5_L,parc_1,precentral_part5
88,2,89.5575221238938,precentral_part6_L,parc_1,precentral_part6
89,2,56.3696919233972,precentral_part7_L,parc_1,precentral_part7
90,2,87.4405328258801,precentral_part8_L,parc_1,precentral_part8
91,2,86.7194371152155,precentral_part9_L,parc_1,precentral_part9
92,6,56.1656165616562,precuneus_part1_L,parc_5,precuneus_part1
93,3,82.3529411764706,precuneus_part2_L,parc_2,precuneus_part2
94,3,82.0566631689402,precuneus_part3_L,parc_2,precuneus_part3
95,3,68.9393939393939,precuneus_part4_L,parc_2,precuneus_part4
96,3,99.8910675381264,precuneus_part5_L,parc_2,precuneus_part5
97,3,100.0,precuneus_part6_L,parc_2,precuneus_part6
98,3,72.5628140703517,precuneus_part7_L,parc_2,precuneus_part7
99,7,44.1220238095238,rostralanteriorcingulate_part1_L,parc_6,rostralanteriorcingulate_part1
100,3,100.0,rostralmiddlefrontal_part1_L,parc_2,rostralmiddlefrontal_part1
101,3,100.0,rostralmiddlefrontal_part2_L,parc_2,rostralmiddlefrontal_part2
102,3,100.0,rostralmiddlefrontal_part3_L,parc_2,rostralmiddlefrontal_part3
103,5,79.7598627787307,rostralmiddlefrontal_part4_L,parc_4,rostralmiddlefrontal_part4
104,3,100.0,rostralmiddlefrontal_part5_L,parc_2,rostralmiddlefrontal_part5
105,3,93.2952924393723,rostralmiddlefrontal_part6_L,parc_2,rostralmiddlefrontal_part6
106,3,100.0,rostralmiddlefrontal_part7_L,parc_2,rostralmiddlefrontal_part7
107,3,100.0,rostralmiddlefrontal_part8_L,parc_2,rostralmiddlefrontal_part8
108,3,100.0,rostralmiddlefrontal_part9_L,parc_2,rostralmiddlefrontal_part9
109,3,100.0,rostralmiddlefrontal_part10_L,parc_2,rostralmiddlefrontal_part10
110,3,90.8529048207664,superiorfrontal_part1_L,parc_2,superiorfrontal_part1
111,3,97.9434447300771,superiorfrontal_part2_L,parc_2,superiorfrontal_part2
112,3,94.601226993865,superiorfrontal_part3_L,parc_2,superiorfrontal_part3
113,3,100.0,superiorfrontal_part4_L,parc_2,superiorfrontal_part4
114,3,100.0,superiorfrontal_part5_L,parc_2,superiorfrontal_part5
115,3,95.6414473684211,superiorfrontal_part6_L,parc_2,superiorfrontal_part6
116,3,82.4436536180308,superiorfrontal_part7_L,parc_2,superiorfrontal_part7
117,3,100.0,superiorfrontal_part8_L,parc_2,superiorfrontal_part8
118,3,100.0,superiorfrontal_part9_L,parc_2,superiorfrontal_part9
119,3,91.4545454545455,superiorfrontal_part10_L,parc_2,superiorfrontal_part10
